"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","18P3R3A11","37P2R3-2A1","38P2R3A13","47P2R3A6","52P2R3A10","56P2R2A4"
"group_7413","","hypothetical protein","2","2","1","166","3330","2","480","","755","755","755","","","38P2R3A13_03683","47P2R3A6_00990","",""
"dgcM_2","","Diguanylate cyclase DgcM","2","2","1","166","3332","2","482","","1232","1232","1232","","","38P2R3A13_03685","47P2R3A6_00992","",""
"group_7415","","putative signaling protein","2","2","1","166","3333","2","483","","2129","2129","2129","","","38P2R3A13_03686","47P2R3A6_00993","",""
"tap_3","","Methyl-accepting chemotaxis protein IV","2","2","1","166","3334","2","484","","1151","1151","1151","","","38P2R3A13_03687","47P2R3A6_00994","",""
"group_7417","","hypothetical protein","2","2","1","166","3339","2","507","","344","344","344","","","38P2R3A13_03692","47P2R3A6_00999","",""
"group_7418","","hypothetical protein","2","2","1","166","3340","2","508","","449","449","449","","","38P2R3A13_03693","47P2R3A6_01000","",""
"group_7419","","hypothetical protein","2","2","1","166","3342","2","510","","413","413","413","","","38P2R3A13_03695","47P2R3A6_01002","",""
"group_742","moaA_2","GTP 3',8-cyclase","2","2","1","166","7655","6","64","","989","989","989","","","38P2R3A13_06205","47P2R3A6_03004","",""
"group_7420","","hypothetical protein","2","2","1","166","3343","2","511","","197","197","197","","","38P2R3A13_03696","47P2R3A6_01003","",""
"group_7421","","hypothetical protein","2","2","1","166","3344","2","512","","206","206","206","","","38P2R3A13_03697","47P2R3A6_01004","",""
"hslJ_2","","Heat shock protein HslJ","2","2","1","166","3351","2","516","","437","437","437","","","38P2R3A13_03701","47P2R3A6_01008","",""
"group_7423","","hypothetical protein","2","2","1","166","3352","2","517","","128","128","128","","","38P2R3A13_03702","47P2R3A6_01009","",""
"appB_2","","Cytochrome bd-II ubiquinol oxidase subunit 2","2","2","1","166","3353","2","518","","1010","1010","1010","","","38P2R3A13_03703","47P2R3A6_01010","",""
"ynfQ","","Protein YnfQ","2","2","1","166","3355","2","520","","188","188","188","","","38P2R3A13_03705","47P2R3A6_01012","",""
"group_7426","potA_5","Spermidine/putrescine import ATP-binding protein PotA","2","2","1","166","3563","2","523","","1013","1013","1013","","","38P2R3A13_03708","47P2R3A6_01015","",""
"ydcU_2","","Inner membrane ABC transporter permease protein YdcU","2","2","1","166","3564","2","524","","944","944","944","","","38P2R3A13_03709","47P2R3A6_01016","",""
"group_7428","menH_5","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2","2","1","166","3567","2","527","","758","758","758","","","38P2R3A13_03712","47P2R3A6_01019","",""
"group_7429","","hypothetical protein","2","2","1","166","3568","2","528","","2174","2174","2174","","","38P2R3A13_03713","47P2R3A6_01020","",""
"group_7430","","hypothetical protein","2","2","1","166","3570","2","530","","1352","1352","1352","","","38P2R3A13_03715","47P2R3A6_01022","",""
"group_7431","ydcY_2","putative protein YdcY","2","2","1","166","3572","2","532","","233","233","233","","","38P2R3A13_03717","47P2R3A6_01024","",""
"group_7432","mnaT_2","L-amino acid N-acyltransferase MnaT","2","2","1","166","3579","2","534","","518","518","518","","","38P2R3A13_03719","47P2R3A6_01026","",""
"curA_2","","NADPH-dependent curcumin reductase","2","2","1","166","3581","2","536","","1040","1040","1040","","","38P2R3A13_03721","47P2R3A6_01028","",""
"mcbR_2","","HTH-type transcriptional regulator McbR","2","2","1","166","3582","2","537","","668","668","668","","","38P2R3A13_03722","47P2R3A6_01029","",""
"group_7435","yncE","putative protein YncE","2","2","1","166","3584","2","539","","1061","1061","1061","","","38P2R3A13_03724","47P2R3A6_01031","",""
"aer_3","","Aerotaxis receptor","2","2","1","166","3587","2","545","","1553","1553","1553","","","38P2R3A13_03726","47P2R3A6_01033","",""
"group_7437","","hypothetical protein","2","2","1","166","3588","2","546","","539","539","539","","","38P2R3A13_03727","47P2R3A6_01034","",""
"group_7438","","hypothetical protein","2","2","1","166","3589","2","547","","1019","1019","1019","","","38P2R3A13_03728","47P2R3A6_01035","",""
"group_7439","","hypothetical protein","2","2","1","166","3592","2","550","","932","932","932","","","38P2R3A13_03731","47P2R3A6_01038","",""
"group_744","moaB_2","Molybdenum cofactor biosynthesis protein B","2","2","1","166","7654","6","63","","512","512","512","","","38P2R3A13_06206","47P2R3A6_03003","",""
"group_7440","","hypothetical protein","2","2","1","166","3593","2","551","","509","509","509","","","38P2R3A13_03732","47P2R3A6_01039","",""
"group_7441","","hypothetical protein","2","2","1","166","3594","2","552","","926","926","926","","","38P2R3A13_03733","47P2R3A6_01040","",""
"group_7442","","hypothetical protein","2","2","1","166","3596","2","554","","887","887","887","","","38P2R3A13_03735","47P2R3A6_01042","",""
"group_7443","gstB_5","Glutathione S-transferase GST-6.0","2","2","1","166","3597","2","555","","617","617","617","","","38P2R3A13_03736","47P2R3A6_01043","",""
"pptA_2","","Tautomerase PptA","2","2","1","166","3598","2","556","","230","230","230","","","38P2R3A13_03737","47P2R3A6_01044","",""
"group_7445","","hypothetical protein","2","2","1","166","3599","2","557","","299","299","299","","","38P2R3A13_03738","47P2R3A6_01045","",""
"group_7446","","hypothetical protein","2","2","1","166","3601","2","559","","575","575","575","","","38P2R3A13_03740","47P2R3A6_01047","",""
"group_7447","nhoA_3","Arylamine N-acetyltransferase","2","2","1","166","3602","2","560","","845","845","845","","","38P2R3A13_03741","47P2R3A6_01048","",""
"narV","","Respiratory nitrate reductase 2 gamma chain","2","2","1","166","3603","2","561","","680","680","680","","","38P2R3A13_03742","47P2R3A6_01049","",""
"narW","","putative nitrate reductase molybdenum cofactor assembly chaperone NarW","2","2","1","166","3604","2","562","","695","695","695","","","38P2R3A13_03743","47P2R3A6_01050","",""
"group_7450","narU","Nitrate/nitrite transporter NarU","2","2","1","166","3607","2","565","","1385","1385","1385","","","38P2R3A13_03746","47P2R3A6_01053","",""
"group_7451","betI_1","HTH-type transcriptional regulator BetI","2","2","1","166","3608","2","566","","575","575","575","","","38P2R3A13_03747","47P2R3A6_01054","",""
"group_7452","smvA","Methyl viologen resistance protein SmvA","2","2","1","166","3609","2","567","","1487","1487","1487","","","38P2R3A13_03748","47P2R3A6_01055","",""
"group_7453","","hypothetical protein","2","2","1","166","3610","2","568","","458","458","458","","","38P2R3A13_03749","47P2R3A6_01056","",""
"ompD","","Outer membrane porin protein OmpD","2","2","1","166","3611","2","569","","1073","1073","1073","","","38P2R3A13_03750","47P2R3A6_01057","",""
"group_7455","yddG_2","Aromatic amino acid exporter YddG","2","2","1","166","3612","2","570","","878","878","878","","","38P2R3A13_03751","47P2R3A6_01058","",""
"fdnG_4","","Formate dehydrogenase, nitrate-inducible, major subunit","2","2","1","166","3614","2","572","","2411","2411","2411","","","38P2R3A13_03753","47P2R3A6_01060","",""
"fdnI_2","","Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit","2","2","1","166","3616","2","574","","653","653","653","","","38P2R3A13_03755","47P2R3A6_01062","",""
"group_7458","","Polyphosphate:ADP phosphotransferase 3","2","2","1","166","3617","2","575","","818","818","818","","","38P2R3A13_03756","47P2R3A6_01063","",""
"group_7459","araJ_2","Putative transporter AraJ","2","2","1","166","3618","2","576","","1178","1178","1178","","","38P2R3A13_03757","47P2R3A6_01064","",""
"group_7460","","NADH dehydrogenase-like protein","2","2","1","166","3619","2","577","","1202","1202","1202","","","38P2R3A13_03758","47P2R3A6_01065","",""
"nsrR_1","","HTH-type transcriptional repressor NsrR","2","2","1","166","3620","2","578","","506","506","506","","","38P2R3A13_03759","47P2R3A6_01066","",""
"group_7462","yheS_3","putative ABC transporter ATP-binding protein YheS","2","2","1","166","3622","2","580","","1709","1709","1709","","","38P2R3A13_03761","47P2R3A6_01068","",""
"group_7463","nicS","HTH-type transcriptional repressor NicS","2","2","1","167","97","3","268","","641","641","641","","","38P2R3A13_03764","47P2R3A6_02628","",""
"group_7464","","hypothetical protein","2","2","1","167","558","3","274","","482","482","482","","","38P2R3A13_03769","47P2R3A6_02633","",""
"mdoB_2","","Phosphoglycerol transferase I","2","2","1","167","559","3","275","","2291","2291","2291","","","38P2R3A13_03770","47P2R3A6_02634","",""
"group_7466","","hypothetical protein","2","2","1","167","560","3","276","","551","551","551","","","38P2R3A13_03771","47P2R3A6_02635","",""
"group_7467","","hypothetical protein","2","2","1","167","561","3","277","","740","740","740","","","38P2R3A13_03772","47P2R3A6_02636","",""
"group_7468","","hypothetical protein","2","2","1","167","562","3","278","","473","473","473","","","38P2R3A13_03773","47P2R3A6_02637","",""
"group_7469","","hypothetical protein","2","2","1","167","563","3","279","","506","506","506","","","38P2R3A13_03774","47P2R3A6_02638","",""
"farR_2","","HTH-type transcriptional regulator FarR","2","2","1","167","565","3","281","","440","440","440","","","38P2R3A13_03776","47P2R3A6_02640","",""
"group_7471","hpcE","Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase","2","2","1","167","566","3","282","","1277","1277","1277","","","38P2R3A13_03777","47P2R3A6_02641","",""
"group_7472","hpcD","5-carboxymethyl-2-hydroxymuconate Delta-isomerase","2","2","1","167","569","3","285","","380","380","380","","","38P2R3A13_03780","47P2R3A6_02644","",""
"hpcH_2","","4-hydroxy-2-oxo-heptane-1,7-dioate aldolase","2","2","1","167","571","3","287","","797","797","797","","","38P2R3A13_03782","47P2R3A6_02646","",""
"group_7474","ttuB_3","Putative tartrate transporter","2","2","1","167","572","3","288","","1352","1352","1352","","","38P2R3A13_03783","47P2R3A6_02647","",""
"hpaC_2","","4-hydroxyphenylacetate 3-monooxygenase reductase component","2","2","1","167","575","3","230","","509","509","509","","","38P2R3A13_03786","47P2R3A6_02650","",""
"group_7476","","hypothetical protein","2","2","1","167","576","3","229","","917","917","917","","","38P2R3A13_03787","47P2R3A6_02651","",""
"group_7477","yjiA_2","P-loop guanosine triphosphatase YjiA","2","2","1","167","579","3","226","","953","953","953","","","38P2R3A13_03790","47P2R3A6_02654","",""
"group_7478","","hypothetical protein","2","2","1","167","580","3","225","","1358","1358","1358","","","38P2R3A13_03791","47P2R3A6_02655","",""
"group_7479","","hypothetical protein","2","2","1","167","581","3","224","","545","545","545","","","38P2R3A13_03792","47P2R3A6_02656","",""
"group_7480","","hypothetical protein","2","2","1","167","582","3","223","","320","320","320","","","38P2R3A13_03793","47P2R3A6_02657","",""
"group_7481","rhaS_5","HTH-type transcriptional activator RhaS","2","2","1","167","584","3","221","","752","752","752","","","38P2R3A13_03795","47P2R3A6_02659","",""
"rhtC_1","","Threonine efflux protein","2","2","1","167","585","3","220","","653","653","653","","","38P2R3A13_03796","47P2R3A6_02660","",""
"group_7483","slyA_2","Transcriptional regulator SlyA","2","2","1","167","593","3","173","","470","470","470","","","38P2R3A13_03800","47P2R3A6_02664","",""
"group_7484","","hypothetical protein","2","2","1","167","594","3","172","","695","695","695","","","38P2R3A13_03801","47P2R3A6_02665","",""
"group_7485","","hypothetical protein","2","2","1","167","595","3","171","","377","377","377","","","38P2R3A13_03802","47P2R3A6_02666","",""
"yqjZ_1","","putative protein YqjZ","2","2","1","167","596","3","170","","323","323","323","","","38P2R3A13_03803","47P2R3A6_02667","",""
"group_7487","","Putative aldehyde dehydrogenase","2","2","1","167","597","3","169","","1415","1415","1415","","","38P2R3A13_03804","47P2R3A6_02668","",""
"group_7488","pgrR_9","HTH-type transcriptional regulator PgrR","2","2","1","167","598","3","168","","902","902","902","","","38P2R3A13_03805","47P2R3A6_02669","",""
"group_7489","gabR_1","HTH-type transcriptional regulatory protein GabR","2","2","1","167","600","3","166","","1388","1388","1388","","","38P2R3A13_03807","47P2R3A6_02671","",""
"group_7490","","hypothetical protein","2","2","1","167","601","3","165","","254","254","254","","","38P2R3A13_03808","47P2R3A6_02672","",""
"group_7491","","hypothetical protein","2","2","1","167","602","3","164","","161","161","161","","","38P2R3A13_03809","47P2R3A6_02673","",""
"group_7492","fhuA_3","Ferrichrome outer membrane transporter/phage receptor","2","2","1","167","604","3","162","","2090","2090","2090","","","38P2R3A13_03811","47P2R3A6_02675","",""
"group_7493","rhaR_4","HTH-type transcriptional activator RhaR","2","2","1","167","605","3","161","","953","953","953","","","38P2R3A13_03812","47P2R3A6_02676","",""
"group_7494","","hypothetical protein","2","2","1","167","606","3","160","","233","233","233","","","38P2R3A13_03813","47P2R3A6_02677","",""
"group_7495","","hypothetical protein","2","2","1","167","607","3","159","","194","194","194","","","38P2R3A13_03814","47P2R3A6_02678","",""
"group_7496","glpR_3","Glycerol-3-phosphate regulon repressor","2","2","1","167","610","3","156","","770","770","770","","","38P2R3A13_03817","47P2R3A6_02681","",""
"group_7497","","hypothetical protein","2","2","1","167","611","3","155","","386","386","386","","","38P2R3A13_03818","47P2R3A6_02682","",""
"group_7498","","hypothetical protein","2","2","1","167","613","3","153","","1088","1088","1088","","","38P2R3A13_03820","47P2R3A6_02684","",""
"group_7499","","hypothetical protein","2","2","1","167","1003","3","149","","338","338","338","","","38P2R3A13_03824","47P2R3A6_02688","",""
"group_7500","","hypothetical protein","2","2","1","167","1002","3","148","","446","446","446","","","38P2R3A13_03825","47P2R3A6_02689","",""
"guaD_2","","Guanine deaminase","2","2","1","167","1001","3","147","","1379","1379","1379","","","38P2R3A13_03826","47P2R3A6_02690","",""
"scrK_2","","Fructokinase","2","2","1","167","1000","3","146","","950","950","950","","","38P2R3A13_03827","47P2R3A6_02691","",""
"group_7503","","hypothetical protein","2","2","1","167","999","3","145","","1013","1013","1013","","","38P2R3A13_03828","47P2R3A6_02692","",""
"group_7504","","hypothetical protein","2","2","1","167","998","3","144","","1493","1493","1493","","","38P2R3A13_03829","47P2R3A6_02693","",""
"group_7505","","hypothetical protein","2","2","1","167","997","3","143","","1265","1265","1265","","","38P2R3A13_03830","47P2R3A6_02694","",""
"sacA_2","","Sucrose-6-phosphate hydrolase","2","2","1","167","996","3","142","","1433","1433","1433","","","38P2R3A13_03831","47P2R3A6_02695","",""
"cscB_2","","Sucrose permease","2","2","1","167","995","3","141","","1238","1238","1238","","","38P2R3A13_03832","47P2R3A6_02696","",""
"group_7508","rbsR_1","Ribose operon repressor","2","2","1","167","994","3","140","","995","995","995","","","38P2R3A13_03833","47P2R3A6_02697","",""
"group_7509","","hypothetical protein","2","2","1","167","993","3","139","","572","572","572","","","38P2R3A13_03834","47P2R3A6_02698","",""
"group_7510","","hypothetical protein","2","2","1","167","992","3","138","","257","257","257","","","38P2R3A13_03835","47P2R3A6_02699","",""
"yjhP","","putative protein YjhP","2","2","1","167","991","3","137","","746","746","746","","","38P2R3A13_03836","47P2R3A6_02700","",""
"symE_2","","Endoribonuclease SymE","2","2","1","167","990","3","136","","452","452","452","","","38P2R3A13_03837","47P2R3A6_02701","",""
"group_7513","","hypothetical protein","2","2","1","167","989","3","135","","875","875","875","","","38P2R3A13_03838","47P2R3A6_02702","",""
"group_7514","","hypothetical protein","2","2","1","167","988","3","134","","1550","1550","1550","","","38P2R3A13_03839","47P2R3A6_02703","",""
